City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,tual,-5.6667,132.75,27.21,83,100,3.86,ID,1735330430
82,bodo,67.28,14.405,5.43,88,75,12.35,NO,1735330131
83,hithadhoo,-0.6,73.0833,26.8,80,92,3.49,MV,1735330432
84,vadso,70.0744,29.7487,-0.91,86,40,15.43,NO,1735330433
85,yinchuan,38.4681,106.2731,-8.59,48,0,3.57,CN,1735330434
86,kaa-khem,51.6833,94.7333,-25.24,96,100,0.52,RU,1735330435
87,robbah,33.2797,6.9098,8.8,49,6,2.01,DZ,1735330437
88,tazovsky,67.4667,78.7,-10.91,94,98,5.53,RU,1735330438
89,akureyri,65.6835,-18.0878,-1.04,64,40,6.69,IS,1735330439
90,iskateley,67.6803,53.1512,-1.3,96,98,10.46,RU,1735330440
91,mejit,10.2753,170.8646,27.45,78,37,8.92,MH,1735330441
92,shihezi,44.3,86.0333,-16.04,86,100,1.29,CN,1735330442
93,selkirk,50.1436,-96.8845,1.77,97,100,1.34,CA,1735330443
94,miramar beach,30.3744,-86.3586,17.23,95,100,7.72,US,1735330445
95,chinde,26.8212,87.7095,14.74,52,0,3.15,NP,1735330446
96,hasaki,35.7333,140.8333,7.57,47,62,2.63,JP,1735330447
97,caianu mic,47.2333,24.15,2.24,80,91,0.5,RO,1735330448
98,keflavik,64.0049,-22.5624,0.24,64,40,12.35,IS,1735330449
99,mount pleasant,32.7941,-79.8626,15.0,93,40,3.6,US,1735330451
100,poxoreo,-15.8372,-54.3892,26.32,87,100,2.56,BR,1735330452
101,avarua,-21.2078,-159.775,27.03,94,92,4.12,CK,1735330453
102,bredasdorp,-34.5322,20.0403,20.81,69,98,2.87,ZA,1735330454
103,lebu,-37.6167,-73.65,17.94,74,98,4.59,CL,1735330455
104,invercargill,-46.4,168.35,16.68,88,83,1.79,NZ,1735330458
105,kapuskasing,49.4169,-82.4331,3.05,93,100,3.6,CA,1735330459
106,ettrick,37.2402,-77.43,8.95,73,44,1.54,US,1735330460
107,sidi ifni,29.3797,-10.173,18.32,41,0,3.75,MA,1735330462
108,wailua homesteads,22.0669,-159.378,25.44,85,0,1.54,US,1735330464
109,strasburg,48.5834,7.743,-0.96,100,100,0.0,FR,1735330461
110,villa paula de sarmiento,-31.4933,-68.5384,36.85,12,6,7.51,AR,1735330466
111,ar raqqah,35.95,39.0167,10.25,81,100,8.49,SY,1735330467
112,puerto baquerizo moreno,-0.9,-89.6,27.55,65,75,5.14,EC,1735330468
113,alofi,-19.0595,-169.9187,28.94,84,20,5.66,NU,1735330471
114,flying fish cove,-10.4217,105.6791,25.82,94,75,2.57,CX,1735330472
115,merizo village,13.2658,144.6691,26.88,84,100,8.67,GU,1735330473
116,la grande,45.3246,-118.0877,4.99,88,100,1.53,US,1735330474
117,suwayr,30.1171,40.3893,11.29,41,0,3.05,SA,1735330475
118,olinda,-8.0089,-34.8553,28.85,65,40,6.17,BR,1735330477
119,imperia,43.9667,7.7833,9.61,30,0,3.95,IT,1735330478
120,san fernando de apure,7.8878,-67.4724,35.06,32,99,3.19,VE,1735330479
121,woodside,37.4299,-122.2539,17.12,83,40,4.12,US,1735330480
122,puerto san jose,13.9256,-90.8244,35.03,36,20,3.09,GT,1735330377
123,walden,41.5612,-74.1885,4.71,62,0,3.6,US,1735330262
124,fort bragg,35.139,-79.006,7.91,96,100,2.57,US,1735330484
125,hermanus,-34.4187,19.2345,21.0,76,95,3.5,ZA,1735330485
126,ketchikan,55.3422,-131.6461,6.26,88,100,5.14,US,1735330195
